,name,Likes,tags,quote
653,Zia Haider Rahman,0 likes,"authors,books,writers,writing","“Since when did books ever solve anything? They only raise more questions than they answer, otherwise they’re just fucking entertainment, and I am not here to fucking entertain you.”"
654,Zia Haider Rahman,0 likes,"authors,books,writers,writing",“That’s another argument for writing: making something that outlasts you.”
655,Steve C. Roberts,0 likes,authors,“I believe that everyone has a story to tell. The problem that is inherent to most aspiring authors is that they struggle with getting the story from their head to the page.”
656,Ogwo David Emenike,0 likes,"authors,tricksters,words,writers,writing",“Writers are like tricksters. Their words lure us to embark on journeys and unlock our emotions.”
657,Munia Khan,0 likes,"author,author-quotes,authors,hyphenated-identities,hyphenated-words,lead,life,life-and-living,life-quotes,words,wordsmith,writer,writers,writers-life,writers-quotes,writers-world",“A writer leads a hyphenated-life with words”
658,Marcel Theroux,0 likes,"amusing-dog,authors,books,death,love,novel,recipe,writing",“I thought it was a novel.”
659,Christos Tsiolkas,0 likes,"authors,sex-scenes,writers,writing","“The best way of writing sex scenes is to do the first draft, orgasm, and then start editing. You can be objective post-orgasm.”"
660,Mark A. Cooper,71 likes,"authors,criticism,critics,defend,protect,reading,reviewers,writers",“I'm not interested in the reviews by critics over the age of 15.”
661,Brenda Ashworth Barry,11 likes,"authors,talent,universe,world,writers",“A writer is never just looking out of a window or staring into space. They are building a universe to share with the world”
662,Justin Alcala,9 likes,"authors,horror,humor,weird",“I don't remember ever signing up for weird. It just sort of happened.”
663,Robert Galbraith,8 likes,"authors,conceit,fantasy,publicity,publishing,self-regard",“He wondered fleetingly how many people who sat alone for hours as they scribbled their stories practiced talking about their work during their coffee breaks....”
664,Wright Morris,7 likes,"art,authors,creative-process,writing","“Life, raw life, the kind we lead every day, whether it leads us into the past or the future, has the curious property of not seeming real"
665,Rachel Heffington,6 likes,"authors,readers-and-writers,writers-quotes","“In order to be heard, an author must have readers...”"
666,Shannon Winslow,5 likes,"authors,jane-austen,philosophical-musings",“Writing novels is not an illness that need be recovered from. It is my work; it is what I do.”
667,Kristen Lamb,4 likes,"authors,humor,social-media",“These days. Most of us have the attention span of a meth-addicted squirrel.”
668,Aoboshi Kimama,4 likes,"author,authors,dad,family,father,love,mom,mother,unsaid-words,writer,writers",“I'm going to be a person who writes stories.
669,Lev Grossman,4 likes,"art,artistry,authors,creative-life,creativity,experience,genius,life,self-knowledge,writing,youth","“I can’t overstate how little I knew about myself at 22, or how little I’d thought about what I was doing. When I graduated from college I genuinely believed that the creative life was the apex of human existence, and that to work at an ordinary office job was a betrayal of that life, and I had to pursue that life at all costs. Management consulting, law school, med school, those were fine for other people — I didn’t judge! — but I was an artist. I was super special. I was sparkly. I would walk another path."
670,أنيس منصور,4 likes,authors,“الكاتب حفيد الدهشة وابن الفكرة وأبو النظرية .. رائد الفلسفة .. ثم هو يتذوق طعم الكلمات وعصير المعاني وعطر الجمال”
671,Naomi Wood,3 likes,"authors,hemingway,woes,writers,writing",“But writers and their woes: they couldn't be parted. Not for anything.”
672,Ashly Lorenzana,3 likes,"advice,authors,books,storytelling,writing",“What you should actually be trying to figure out is how to tell your story. The one that is every bit as unique to you as your fingerprints.
673,Ashly Lorenzana,3 likes,"authors,books,life,memoirs,storytelling,writing","“Your whole life and the story of your journey is the landscape picture on the front of the box of a 1,000 piece puzzle. The pieces are each a small sticky note that ends in mid-sentence. You simply need to figure out where each one starts and ends.”"
674,Zia Haider Rahman,3 likes,"authors,ego,writers,writing","“Zafar argues that the greatest influence on a writer may be on her psychic dispositions as a writer. Reading Philip Roth, writes Zafar, might clear the way of inhibitions that held you back from writing about reckless desire, the temptations of power, and the immanence of rage, or reading Naipaul might convince you to seize the ego that so wants to be loved, drag it outside, put it up against a wall, and shoot it.”"
675,Charles Brower,2 likes,"authors,words-to-live-by,writing",“A new idea is delicate. It can be killed by a sneer or a yawn; it can be stabbed to death by a joke or worried to death by a frown on the right person's brow.”
676,Robert  Black,2 likes,"authors,historians,the-universe,writers","“Writers and other artists are mostly just historians, produced by nature to describe, decipher and thus historically represent the universe.”"
677,Author Catherine Lyon a,2 likes,"authors,books,novelist,read","“An authors publication date never matters, a book not read yet will always be New""...”"
678,Richelle E. Goodrich,2 likes,"authors,determination,richelle,richelle-e-goodrich,richelle-goodrich,write,writer,writers-on-writing,writing-obstacles",“A writer writes
679,Richard Flanagan,2 likes,"authors,literary-prize,man-booker",“In Australia the Man Booker is sometimes seen as something of a chicken raffle. I just didn’t expect to end up with the chicken.”
680,A.K. Kuykendall,1 likes,"authors,books,literature,reading,rejection,rejection-letters,rejections,writing",“The word 'NO' is the best motivation there is for the storyteller in you.”
681,Munia Khan,1 likes,"authors,back,change,editing,editor,fix,old,only,past,poets,works,writer,writers,writers-quotes",“Only the writers can change or fix the past by going back to edit old works”
682,Judith Briles,1 likes,"authors,book-success,how-to-get-published,writing",“There's writing power in one word sentences and one sentence paragraphs. Wise authors use them. -Judith Briles”
683,Judith Briles,1 likes,"authors,hot-to-get-published,publishing-mistakes","“Avoid the RTP Syndrome. When you rush to Publish, you rush to mistakes and chaos. Guaranteed.”"
684,Love The Stacks Bookstore,0 likes,"authors,writers","“Authors are but the instrument to be played. The art is inside them, but many people help create it.”"
685,Ella J. Fraser,0 likes,"authors,publishing,writing,writing-life",“One of the greatest gifts we can give someone is our undivided attention--a thought that whispers constantly in the ear of any author who respects their readers.”
686,Russell M. Goldfarb,0 likes,"authors,intention,p-63,writing","“It is, of course, not only impossible for readers to know the intention of most, if not all, writers, but an author himself may think he is writing one thing while he is in fact writing something quite different.”"
687,Ashly Lorenzana,0 likes,"advice,authors,books,storytelling,writing",“The fact of the matter is that you should really stop concerning yourself with writing a book because anyone can write a book that totally sucks. There is nothing special about that.”
688,Lee Marvin,0 likes,"authors,books,contestants,contests,lee-marvin,life","“The only thing in life that's really interesting is the contest. We are all contestants--whether we admit it or not. If I read 20 pages of a book and they're no good, I put it down. Maybe it's good after 100 pages, but I can't wait. The author lost.”"
689,Zia Haider Rahman,0 likes,"authors,writers-world,writing",“I am too much of an imitator to be a true writer.”
690,Shannon L. Alder,37 likes,"authors,commonsense,eternal-truths,facts,filterless,freedom-of-speech,friendships,from-the-heart,god-s-plan,holding-back,honesty,ideas,lies,memoirs,moving-on,novels,open-minded,relationships,right-path,right-people,self-confidence,sermons,speaking-truths,vulnerability,wisdom,woman,women,writing,wrong-choice,wrong-path","“Honesty is vulnerability. Sadly, not everyone can handle someone’s honesty. However, lying allows people to be comfortable.”"
691,Marissa Meyer,26 likes,"authors,cyborgs,funny-quote,humour,wolves",“You're asking the cyborg fugitive and the wild animal to be the welcoming committee? That's adorable.”
692,Dermot Davis,20 likes,"authors,literature,readers,writing",“People don’t read to enlighten themselves or seek to gain some valuable insight into their own psychology. People read to escape.”
693,Dermot Davis,12 likes,"authors,ebooks,kindle,readers",“Crazy people love their Kindles.”
694,Dermot Davis,12 likes,"authors,literature,publishing,writing","“By their very nature, idiots do not have the intellectual capacity to identify genius. All that idiots are mentally equipped to recognize are other idiots.”"
695,Dermot Davis,10 likes,"authors,genre,publishing,writing","“The big trinity of publishing: mystery, thrillers and romance. If you can combine all three, then it’s a winner’s trifecta and you’ll be rich beyond your dreams.”"
696,Lucian Bane,9 likes,"authors,books,dom-wars","“And you will not hurt him anymore. Not one of you. Because I am his protector. His rear guard. I am his"" -Tara Reese”"
697,Roman Payne,7 likes,"authors,authors-on-authors,novelists,novelists-life,oedipus,oedipus-the-king,writers-life","“The novelist is condemned to wander all his life. Homeless and blind like Oedipus he wanders until death. And so let us protect the novelist and adore him, with pity, honor, and love.”"
698,Teresa Mummert,7 likes,"authors,inspiration,motivation,write,writing",“Write something worth reading and your voice will be heard.”
699,Elmore Leonard,6 likes,"authors,competition,style","“I don’t think writers compete, I think they’re all doing separate things in their own style.”"
700,Pete Morin,5 likes,"authors,criticism,publishing,reviewers,reviewing,self-publishing,spas","“Only a few short years ago, the average stay-at-home mom spent her relaxation time reading Jackie Collins and staring at the pool boy. Now, half of them are outselling Jackie Collins writing porn about the pool boy."
701,Israelmore Ayivor,5 likes,"alcohol,alcoholic-beverages,author,authors,book,books,bookshops,close-down,conflicts,country,drinking-bars,drinks,food-for-thought,great,greatest,greatest-tragedy,happen,incidence,israelmore-ayivor,more,nation,replacement,terror,terrorism,terrorists,tragedy,tribal-war,war",“The greatest tragedy to ever happen to a nation is not the incidences of war or terrorism. It's when more bookshops close down and more drinking bars are opened to replace them!”
702,Shannon L. Alder,4 likes,"authority,authors,bibliography,does-it-matter,humor,interesting,irony,notable-sources,observation,orators,quotes,rule-followers,rules,sermons,sources,telling,theology",“The irony of rule followers is they often quote a lot of people that do not follow as many rules as they do.”
703,L. Frank Baum,3 likes,"authors,children,fairy-tales","“Perhaps I should admit on the title page that this book is ""By L. Frank Baum and his correspondents,"" for I have used many suggestions conveyed to me in letters from children. Once on a time I really imagined myself ""an author of fairy tales,"" but now I am merely an editor or private secretary for a host of youngsters whose ideas I am requested to weave into the thread of my stories...My, what imaginations these children have developed! Sometimes I am fairly astounded by their daring an genius. There will be no lack of fairy-tale authors in the future, I am sure. My readers have told me what to do with Dorothy, and Aunt Em and Uncle Henry, and I have obeyed their mandates. They have also given me a variety of subjects to write about in the future: enough, in fact, to keep me busy for some time. I am very proud of this alliance. Children love these stories because children have helped to create them. My readers know what they want and realize I try to please them. The result is satisfactory to the publishers, to me, and (I am quite sure) to the children. I hope, my dears, it will be a long time before we are obliged to dissolve partnership.”"
704,Pete Morin,2 likes,"authors,criticism,free-books,freedom-of-opinion,freedom-of-speech,reviewers,reviews,self-publishing,spas,writing","“Remember, we all make our work available in a commercial transaction, the terms of which we, ourselves, dictate. If we give it away for free, that’s our decision, and there is no refuge in the lame defense, “what do you want for nothing?” The buyer does not waive his right to express his opinion."""
705,David    Rose,2 likes,"authors,books,literature,reading,writing",“Knowing that others want to read my writing is the greatest inspiration to write.”
706,M.F. Moonzajer,1 likes,"authors,books,certainly,reading,writers","“If you write without reading, you will certainly have too many books without readers.”"
707,Geraldine Solon,1 likes,"authors,books,writing","“Hard core authors are determined about their craft, and they know that building a brand entails hard work. They eat, breathe and live their writing.:”"
708,Christopher Bram,1 likes,"authors,writers",“A written man is more porous and accessible than a live one.”
709,Lara Biyuts,1 likes,"authors,creativity,key","“Many believe creativity is mystery, and I always knew that my body is the key.”"
710,M.F. Moonzajer,0 likes,"authors,book,writers,writing","“To write a good book, you must read one book for each page of the book you are about to write.”"
711,Julie Hedlund,0 likes,"authors,writing",“Be the CEO of your own career.”
712,Geraldine Solon,0 likes,"authors,books,writing",“This is the best time to be an author.”
713,Geraldine Solon,0 likes,"authorpreneur,authors,books,writing",“An Authorpreneur focuses on establishing one's brand to the consumer using different avenues to promote their work.”
714,Ellen J. Barrier,0 likes,"authors,books,editors,novels,poems,poets,screenwriters,writers","“Great writers experience their dreams. They put them on paper, where others can read about them.”"
715,Teresa Mummert,0 likes,"authors,inspiration,motivation,writers",“We need to stop trying to get attention by seeing who can scream and cry the loudest. Write something worth reading and your voice will be heard.”
716,Lori Lesko,0 likes,"authors,inspirational,writing","“What do you want to write? What gets your goat? What irks you to no length? If you could change the world with words, what would they be?”"
717,M.F. Moonzajer,0 likes,"alone,authors,enjoy,naked,writing","“I enjoy writing alone, naked and unbothered.”"
718,David Chuka,0 likes,"authors,indie-author-quotes,inspirational,publishing,self-development,writemotivation,writers,writing",“Not everyone will like what you write but there's a certain group who'll love what you write. Keep WRITING for them.”
719,Lara Biyuts,0 likes,"authors,demon,mystery","“A demon, who serves to a warlock, begins tormenting his master, if he has not enough work. Talent is the demon.”"
720,Brandon Sanderson,44 likes,authors,"“Authors write books for one, and only one, reason: because we like to torture people.”"
721,Neil Gaiman,33 likes,"aspirations,authors,goals,goals-in-life,growing-up,writers","“Q: I want to be an author when I grow up. Am I insane?"""
722,Janae Mitchell,13 likes,"authors,fandoms,fans,readers,readers-and-writers","“Readers are often fans of Authors, but I, myself, am a fan of readers. They are the ones who breathe life into the pages that we give birth to, after all.”"
723,R.M. Engelhardt,9 likes,"authors,creative-writing,hell,literature,on-writing,poetry,r-m-engelhardt,writers-block",“What is hell to a writer? Hell is being too busy to find the time to write or being unable to find the inspiration. Hell is suddenly finding the words but being away from your notebook or typewriter. Hell is when the verses slip away through your fingers and they never return again.”
724,Philip Pullman,8 likes,"authors,writing,writing-advice,writing-life","“All writing is difficult. The most you can hope for is a day when it goes reasonably easily. Plumbers don’t get plumber’s block, and doctors don’t get doctor’s block; why should writers be the only profession that gives a special name to the difficulty of working, and then expects sympathy for it?”"
725,Harper Lee,7 likes,"authors,criticism,thick-hide,thick-skin,writing","“I would advise anyone who aspires to a writing career that before developing his talent he would be wise to develop a thick hide."""
726,Jim C. Hines,6 likes,"authors,books,criticism,freedom-of-expression,opinions,reviewers,reviewing","“But 'I worked hard on this' doesn’t exempt you from criticism. Those harsh reviews aren’t about anyone being out to get me. It’s not an Authors vs. Reviewers thing. It’s people taking the time to express their opinions because they care about this stuff."""
727,Gaston Leroux,4 likes,"authors,creative-environment,creative-people,flowers,writers,writing",“An author really ought to have nothing but flowers in the room where he works.”
728,Alina Radoi,4 likes,"authors,ending,fairy-tales,girls,inspirational,love,men,story","“they say that girls are the ones who want fairy tail endings, but then again, who are the authors of fairy tales? mostly men...”"
729,Aberjhani,3 likes,"aberjhani-on-albert-camus,albert-camus,albert-camus-100th-birthday,authors,books,celebrity-birthdays,famous-authors,french-algerian-authors,literary-genius,nobel-laureates,nobel-prize-in-literature,philosophy,reading",“There is in Albert Camus’ literary craftsmanship a seductive intelligence that could almost make a reader dismiss his philosophical intentions if he had not insisted on making them so clear.”
730,Benjamin Jowett,3 likes,"authors,book,equality,humor,writers",“One man is as good as another until he has written a book.”
731,Brandi L. Bates,3 likes,"authors,boys,brandi-bates,family,friends,girls,life-quotes,poets,simple-truths,truth,women,writers",“Most people don't have real friends. You have people in your life waiting for opportunities to see what YOU can do for them.”
732,Brandi L. Bates,3 likes,"authors,beauty,brandi-bates,brandi-l-bates,happiness,inspiration,joy,love,metaphor,peace,poetry,poets,power,wealth,wisdom,writers","“A writer will divine a metaphor from a pattern on a dress, or a gesture, because sunsets have been done before.”"
733,Ace Antonio Hall,2 likes,"authors,passion,writing",“Let your passion bleed through your work. No one cares how much you know until they know how much you care.”
734,Ace Antonio Hall,2 likes,"authors,life,plan,world-building,write","“When you get some free time, write. When you get some lazy time, plan. When you get down time, world build. When your time comes, shine!”"
735,Stephen King,2 likes,"authors,gothic,writing",“Most gothics are overplotted novels whose success or failure hinges on the author's ability to make you believe in the characters and partake of the mood.”
736,Amit Kalantri,2 likes,"author,authors,first,first-lines,first-sentence,initiative,writer,writers,writing",“The most difficult thing about writing; is writing the first line.”
737,Neil Gaiman,2 likes,authors,"“If I were only allowed to read or enjoy art or listen to music made by people whose opinions and beliefs were the same as mine, I think the world would be a pretty dismal sort of a place... Most, probably all, human beings get to do awful things and believe things that other human beings think they should be burned for believing, and they get to do and believe wonderful things too, and artists, writers, musicians, creators, actors, are nothing if not human beings.”"
738,Sara Sheridan,2 likes,"academics,advertising,authors,bloggers,commercial,creatives,ghostwriting,journalists,literary,literature,mainstream,novelists,poets,writers,writing","“Copywriters, journalists, mainstream authors, ghostwriters, bloggers and advertising creatives have as much right to think of themselves as good writers as academics, poets, or literary novelists.”"
739,Mary Papas,1 likes,"authors,flash-fiction,romances,short-stories,writing",“I read your diary. I KNOW”
740,Jen Selinsky,1 likes,"authors,love-books,reading","“I like to read as much as I can from every genre. That way, I can express my love for all writers.”"
741,Sara Sheridan,1 likes,"authors,grab,imagination,job,novelists,purpose,readers,responsbility,writers,writing",“Grabbing readers by the imagination is a writer's job.”
742,Carl Henegan,1 likes,"authors,lie,prose","“An author never lies. We do, however tend to speak in a fictional prose.”"
743,Max Vegaritter,1 likes,"authors,deeds,words","“As individuals, great writers from Villon to Diderot to Voltaire to"
744,Josh Alan Friedman,1 likes,"authors,focus,realities,sacrifice","“I want my list of works to be lean and mean and everything was urgent and had to be done. Nothing to play the market. My family’s had to suffer for that, that I haven’t done commercial jobs just to bring home the bacon.”"
745,Himmilicious,0 likes,"authors,bestsellers,books",“A bestseller is a book written by a rich person of Indian roots staying in Europe for more than a decade..”
746,Mary Papas,0 likes,"authors,drama,flash-fiction,romance,short-stories,suspense,writing",“You need to take some acting classes to learn to hide your huge crush on my husband better”
747,Siri Hustvedt,0 likes,"authors,death,death-and-dying,suri-hustvedt,the-sorrows-of-an-american,writers,writers-life","“Crippled and crazy, we hobble toward the finish line, pen in hand.”"
748,Alisa Hope Wagner,0 likes,"authors,books,writers",“People visit exposed and vulnerable; writers live there”
749,Bob D'Eith,0 likes,"authors,humour,writing-process",“I am a perfectionist in spirit”
750,Shannon L. Alder,40 likes,"actions,authors,being-direct,choices,clarification,communication,confusion,direct,evolution,fights,games,happiness,helpful,integrity,intelligence,intent,letting-go,life,love,misunderstandings,mixed-signals,noble,not-helpful,novels,parables,philosophy,reading-between-the-lines,religion,retreating,right-reasons,scholars,soul,stories,true-self,walking-away,wars,wisdom,wise",“Intelligence is not expecting people to understand what your intent is; it is anticipating how it will be perceived.”
751,Neil Gaiman,28 likes,"authors,books,creativity,gaiman,neil-gaiman,tumblr,writing,writing-advice,writing-books,writing-life","“I’m an author. We don’t want to lead. We don’t need to follow. We stay home and make stuff up and write it down and send it out into the world, and get inside people’s heads. Perhaps we change the world and perhaps we don’t. We never know. We just make stuff up.”"
752,Mary Papas,17 likes,"authors,writing",“Writer's block is when your imaginary friends won't talk to you.”
753,John Green,15 likes,"authors,harry-potter,humor,muggles,wizards","“If my public existence does anything worthwhile, hopefully it at least demystifies the author a bit, because I know when I was younger I felt like authors were like wizards or something. Turns out they're total muggles.”"
754,Michel Foucault,10 likes,"authors,writers,writing","“In writing, the point is not to manifest or exalt the act of writing, nor is it to pin a subject within language; it is, rather, a question of creating a space into which the writing subject constantly disappears.”"
755,William Goldman,9 likes,"authors,humor",“You had to admire a guy who called his own new book a classic before it was published and anyone else had a chance to read it.”
756,Neil Gaiman,8 likes,"arthur-conan-doyle,authors,christianity,narnia,professor-challenger,spiritualism,stories,writing","“Richard put away the Narnia books, convinced, sadly, that they were an allegory; that an author (whom he had trusted) had been attempting to slip something past him. He had had the same disgust with the Professor Challenger stories, when the bull-necked old professor became a convert to Spiritualistm; it was not that Richard had any problems believing in ghosts - Richard believed, with no problems or contradictions, in everything - but Conan Doyle was preaching, and it showed through the words. Richard was young, and innoncent in his fashion, and believed that authors should be trusted, and that there should be nothing hidden beneath the surface of a story.”"
757,Spike Milligan,8 likes,"authors,humour,irish,legs,writing",“Author? Author? Did you write these legs?'
758,Ursula K. Le Guin,7 likes,"authors,disappointment,expectations,writers,writers-life","“Meeting writers is always so disappointing. I got over wanting to meet live writers quite a long time ago. There is this terrific book that has changed your life, and then you meet the author, and he has shifty eyes and funny shoes and he won't talk about anything except the injustice of the United States income tax structure toward people with fluctuating income, or how to breed Black Angus cows, or something.”"
759,Roger Ebert,5 likes,"authors,creative-process,writing,writing-process","“When I write, I fall into the zone many writers, painters, musicians, athletes, and craftsmen of all sorts seem to share: In doing something I enjoy and am expert at, deliberate thought falls aside and it is all just THERE. I think of the next word no more than the composer thinks of the next note.”"
760,Carl Henegan,5 likes,"artist,authors,musicians","“Artist paint images unseen, musicians create sounds that emerge from silence, and authors write from a synthetic point of view about a world that can never exist.”"
761,E.A. Bucchianeri,5 likes,"authors,books,creative-writing,editing,editing-humor,exclamation-marks,exclamation-points,novels,punctuation,punctuation-mark,reading,women-writers,writers,writing,writing-process,writing-quotes",“What is it about us lady authors and our fascination for the exclamation mark?”
762,Brian Rock,4 likes,"authors,inspiration,inspirational,inspirational-quotes,paraphrasing-narcotics-anonymous,writers,writers-on-writing",“If insanity is defined as doing the same thing over and over and expecting different results - then success is insanity squared!
763,Johann Wolfgang von Goethe,3 likes,"authors,books,learning",“We really learn only from those books that we cannot judge. The author of a book that we were able to judge would have to learn from us.”
764,Lori Lifsey,3 likes,"authors,writers,writing-process",“Some writers need to sink in order to feel what their characters feel; in order to write their characters with the truest feeling possible. Those closest to those writers end up feeling the effects of that process. It takes a strong person to be with an emphatic writer.”
765,Don Roff,3 likes,"authors,conversation,eavesdropping,emily-dickinson,gossip,humor,ray-bradbury,roald-dahl","“Any conversation including the mention of Roald Dahl, Ray Bradbury, or Emily Dickinson is one worth getting into or at least eavesdropping.”"
766,Nina Jean Slack,3 likes,"author,author-quote,author-quotes,authors,books,create,creativity,escape,infinite,ink,inspiration,inspirational,life,love,new,nina,nina-jean-slack,quote,quotes,reality,tranquil,words,world,worlds,writer,writers,writing","“Writing has become more than just a profession, and hobby…it has become a way to express my feelings and pour my entire soul into the pages of my books. Thank God for the little things in life that makes us feel infinite and tranquil…the little things that make way for us to escape reality and enter new worlds that we create. -Nina Jean Slack”"
767,Mary Papas,2 likes,"authors,flash-fiction,short-stories,writing",“That woman must have been a husky in a previous life.”
768,Mary Papas,2 likes,"authors,books,flash-fiction,romance,stories",“The man she wanted existed only in the romantic novels she was reading. She had met him. But he would never meet her.”
769,Don Roff,2 likes,"authors,believable,chaos,fantasy,months,reality,work,writing,years","“Authors must spend months, years making fantasy believable in a single work while reality runs rampant and complete chaos elsewhere.”"
770,Elaine Orr,2 likes,"authors,humorous-mystery,writing","“An idea is a gift, a finished project is turning that gift into a book by making yourself write even when you don't want to. There is no such thing as a block of time to write. You have to carve time from a busy day. Elaine L. Orr”"
771,Andrew   Crofts,1 likes,"authors,ghosting,ghostwriters,the-ghost","“Of all the advantages that ghostwriting offers, one of the greatest must be the opportunity that you get to meet people of interest.”"
772,Mary Papas,1 likes,"authors,books,short-stories,writing",“All that sweetness makes me feel weird. My sister was never the loving type.”
773,Mary Papas,1 likes,"authors,books,writing","“- If you could describe my son in 3 words, what would you say?"
774,Mary Papas,1 likes,"authors,books,humour,stories,writing","“David had left her,taking his insane jealousy with him.”"
775,Mary Papas,1 likes,"authors,books,flash-fiction,short-stories,writing",“A shrink and a patient in a love-hate relationship. Who is REALLY the boss?”
776,Mary Papas,1 likes,"anthologies,authors,books,flash-fiction,short-stories,suspense,writing",“She would keep playing the role of the winner as long as the audience believed her.”
777,Mary Papas,1 likes,"authors,short-stories,writing-life",“I read your diary. I KNOW.”
778,Mary Papas,1 likes,"authors,flash-fiction,short-stories,writing,writing-life",“The only man she ever loved. And hated.”
779,Mary Papas,1 likes,"authors,books,short-stories,writing-style",“You are in love with my husband. You need some acting lessons to learn to hide it better.”
780,Charles Bukowski,31 likes,"authors,bukowski,literary,poetry,writers,writing",“The centuries are sprinkled with rare magic
781,Kerry E. Wagner,18 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry",“Stop worshiping the bad in boys and start recognizing the good in men”
782,Kerry E. Wagner,17 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry",“A good response beats a bad reaction any day. Be encouraged”
783,Kerry E. Wagner,17 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry","“Intercourse is one thing, Intimacy is everything. Be encouraged”"
784,Kerry E. Wagner,12 likes,"authors,book-quotes,books-reading,inspirational-attitude,inspirational-quotes,oprah-winfrey-favorite-quote,quotes,relationship-advice","“DRAMA: Be careful about being baited into the personal battles and confusion of others. If you want to help someone out emotionally, be certain he or she has made a commitment to the sacrifice before you intervene for his or her success. If you don’t, you’re likely to be drained of all your healthy energy with his or her selfish petty, pitiful pretending and negotiating. Be encouraged but more importantly if you can’t make it better, whatever you do don’t make it worse, for them and especially yourself”"
785,Kerry E. Wagner,11 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry","“Just because you start attempting to do right, doesn’t mean people will let you forget about what you’ve done wrong…Be encouraged”"
786,Neil Gaiman,11 likes,"authors,storytelling,writing","“Start telling the stories that only you can tell. Because there will always be better writers than you, and there will always be smarter writers than you, and there will always be, you know, people who are much better at doing this or doing that, but you are the only you.”"
787,Kerry E. Wagner,9 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry",“One of the smartest things one can do in life sometimes…is play stupid. Be encouraged”
788,Bobbi Romans,8 likes,"authors,editors,romance-novels",“A good editor is like tinsel to a Christmas Tree...they add the perfect amount of sparkle without being gaudy.”
789,Nina Jean Slack,7 likes,"author,authors,emo,emotion,emotional,emotions,feel,feeling,feelings,nina,poem,poems,poetry,poets,quote,quotes,read,reading,soul,thoughts,words,work,writer,writers,writing","“Always write exactly what you’re feeling at the exact moment when writing something like poetry or an emotional novel. Put yourself, pour all emotions into your work…make yourself cry, feel joy if you are writing joyful things, feel lovey if it calls for it…just put your heart and soul into all that you do…then you will be a good writer when you can make whoever reads your work, feel."" -Nina Jean Slack”"
790,Nora Roberts,6 likes,"author,author-quotes,authors,fiction,fiction-writing,fictional,fictional-truth,writing",“Grayson: Fiction is just a lie anyway.
791,John Gardner,5 likes,"authors,books,craft,craftsmanship,fiction,genre-fiction,how-to-write,how-to-write-fiction,instruction,low-brow,pulp,pulp-fiction,technique,writing","“The instruction here is not for every kind of writer - not for the writer of nurse books or thrillers or porno or the cheaper sort of sci-fi - though it is true that what holds for the most serious kind of fiction will generally hold for junk fiction as well. (Not everyone is capable of writing junk fiction: It requires an authentic junk mind. Most creative-writing teachers have had the experience of occasionally helping to produce, by accident, a pornographer. The most elegant techniques in the world, filtered through a junk mind, become elegant junk techniques.)”"
792,Carl Henegan,4 likes,"authors,writing-life","“Writing a complete novel is time consuming, frustrating, nerve wrecking, and most of the time your work is under valued, under appreciated, and taken for granted. So why do authors do it? Because not writing at all, feels far worse.”"
793,Colm Tóibín,4 likes,"authors,conceit,critique,diptychs,grandeur,novelists,novels,reviews,self-importance,writers",“The only time I've ever learned anything from a review was when
794,Kerry E. Wagner,4 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry","“It wouldn’t matter if he was a bad boy , if you got rid of your bad habit. Be encouraged”"
795,F. Scott Fitzgerald,4 likes,authors,"“Writers aren't exactly people, they're a bunch of people trying to be one person.”"
796,Leslie Austin,4 likes,"author,authors,quotes,saying,writers",“A witer's mind is NEVER silent. It is always conducting the next symphony of words.”
797,Carol Morgan,3 likes,"authors,entertainment,writing","“There should be more to writing than entertaining an already-brain-dead society and making money. If not,then you miss the point of writing.”"
798,Tracy Kauffman,3 likes,"authors,books,career,passion,writing",“Finding your passion is the key to your success. - Tracy Kauffman”
799,Heather Hart,3 likes,"authors,book-marketing","“Book marketing is like opening doors for your readers to find you, not a stick you hit them with.”"
800,Kytka Hilmar-Jezek,2 likes,"authors,authorship,being-a-writer,book-power,kytka,potential,writers",“The out-dated imagery of sitting over a dusty typewriter staring at blank pages for years is a fallacy and probably designed to keep you from living up to your fullest potential.”
